timestamp px py pz qx qy qz qw
1532199826.475229025 -0.579770888 0.546951557 -0.399314144 -0.233432608 0.675124436 0.084571476 0.694668179
1532199827.470877171 -0.498457103 0.595033841 -0.440320297 -0.257323902 0.642028968 0.071472413 0.718661887
1532199828.164777994 -0.440742899 0.590557981 -0.455847818 -0.223651066 0.627876735 0.076071703 0.741595646
1532199829.804832220 -0.337567342 0.681500554 -0.471306913 -0.211883623 0.581208309 0.076645243 0.781938449
1532199831.196097136 -0.308340959 0.750677289 -0.487016473 -0.211939506 0.571772937 0.079785959 0.788537605
1532199832.388315916 -0.294635099 0.699500698 -0.445916506 -0.151857401 0.523246418 0.053293753 0.836846636
1532199832.833874702 -0.288493200 0.673744748 -0.443598948 -0.146376618 0.516128598 0.039989105 0.842962649
1532199834.026055098 -0.256493425 0.580022108 -0.425960810 -0.138910993 0.529876368 0.033312287 0.835957572
1532199835.069789648 -0.222995118 0.467174268 -0.391626125 -0.122597691 0.522764202 0.004482052 0.843603761
1532199836.361748695 -0.220442644 0.422963815 -0.364332359 -0.126119674 0.517908364 0.004036131 0.846078285
1532199838.050308704 -0.236341910 0.356190050 -0.316872516 -0.120258265 0.492263277 -0.013518326 0.861993081
1532199838.843863964 -0.214758277 0.275040758 -0.292340841 -0.114868071 0.492337113 -0.024206041 0.862452063
1532199839.838661194 -0.155939686 0.176864766 -0.166414794 -0.107574849 0.483826776 -0.095537399 0.863256571
1532199840.731931210 -0.161891257 0.114470160 -0.005437149 -0.072542008 0.373939377 -0.103983829 0.918746082
1532199841.724778652 -0.200726914 0.105585537 0.105555106 -0.056232560 0.298563490 -0.125102979 0.944482391
1532199842.319854259 -0.215274225 0.127511166 0.152315621 -0.088162408 0.272333669 -0.141369377 0.947668962
1532199843.363190174 -0.281002347 0.159194317 0.195026220 -0.102690501 0.210746911 -0.152415605 0.960109308
1532199844.008493900 -0.284905884 0.166377678 0.199874602 -0.100635216 0.205831691 -0.167832060 0.958821291
1532199844.407507420 -0.268643386 0.172936719 0.215601640 -0.114945482 0.180108271 -0.171930255 0.961659261
1532199845.004010916 -0.206846420 0.145635585 0.242830878 -0.121884479 0.151146343 -0.173070125 0.965580493
1532199845.748853683 -0.192795410 0.119413330 0.238807493 -0.080865541 0.138946287 -0.183490425 0.969786552
1532199846.394078732 -0.145855566 0.111779798 0.256546312 -0.093106786 0.121232613 -0.157612414 0.975598333
1532199847.289664268 -0.086750630 0.118348360 0.309248310 -0.092233031 0.050371705 -0.173533013 0.979204806
