Left [ns] , Right [ns] , Common [ns]
1579097780768423700,1579097780768504900,1579097780768464384
1579097780835595800,1579097780835677000,1579097780835636480
1579097780900742600,1579097780900823900,1579097780900783360
1579097780967922600,1579097780968003800,1579097780967963136
1579097781035099100,1579097781035180300,1579097781035139584
1579097781100253800,1579097781100335000,1579097781100294400
1579097781167423200,1579097781167504400,1579097781167463680
1579097781234593500,1579097781234674800,1579097781234634240
1579097781301748700,1579097781301829900,1579097781301789184
1579097781366892600,1579097781366973800,1579097781366933248
1579097781434053400,1579097781434134700,1579097781434094080
1579097781501207700,1579097781501288900,1579097781501248256
1579097781566342500,1579097781566423800,1579097781566383104
1579097781633491100,1579097781633572300,1579097781633531648
1579097781700689400,1579097781700770700,1579097781700730112
1579097781767850600,1579097781767931800,1579097781767891200
1579097781832982100,1579097781833063400,1579097781833022720
1579097781900126900,1579097781900208100,1579097781900167424
1579097781967288700,1579097781967369900,1579097781967329280
1579097782032422400,1579097782032503700,1579097782032463104
1579097782099577000,1579097782099658300,1579097782099617536
1579097782166738200,1579097782166819400,1579097782166778880
1579097782233909700,1579097782233991000,1579097782233950464
1579097782299046200,1579097782299127400,1579097782299086848
1579097782366197800,1579097782366279000,1579097782366238464
1579097782433359900,1579097782433441100,1579097782433400576
1579097782498516800,1579097782498598100,1579097782498557440
1579097782565690100,1579097782565771300,1579097782565730816
1579097782632906400,1579097782632987700,1579097782632946944
1579097782700078200,1579097782700159500,1579097782700118784
1579097782765235600,1579097782765316900,1579097782765276160
1579097782832404600,1579097782832485900,1579097782832445184
1579097782899585300,1579097782899666500,1579097782899625984
1579097782964732700,1579097782964814000,1579097782964773376
1579097783031899300,1579097783031980500,1579097783031939840
1579097783099090900,1579097783099172100,1579097783099131392
1579097783166266500,1579097783166347700,1579097783166307072
1579097783231414900,1579097783231496200,1579097783231455488
1579097783298581500,1579097783298662800,1579097783298622208
1579097783365757300,1579097783365838600,1579097783365797888
1579097783430904900,1579097783430986200,1579097783430945536
1579097783498068200,1579097783498149500,1579097783498108928
1579097783565288700,1579097783565369900,1579097783565329408
1579097783632465300,1579097783632546600,1579097783632505856
1579097783697634100,1579097783697715400,1579097783697674752
1579097783764819100,1579097783764900400,1579097783764859648
1579097783832004900,1579097783832086200,1579097783832045568
1579097783897171600,1579097783897252900,1579097783897212160
1579097783964347800,1579097783964429100,1579097783964388352
1579097784031543600,1579097784031624900,1579097784031584256
1579097784098735100,1579097784098816400,1579097784098775808
1579097784163896300,1579097784163977600,1579097784163937024
1579097784231075800,1579097784231157100,1579097784231116544
1579097784298257600,1579097784298338900,1579097784298298368
1579097784363423200,1579097784363504500,1579097784363463936
